adsetname,age,gender,click
Control,18-24,female,1
Control,18-24,female,1
Control,18-24,female,1
Control,18-24,female,1
Control,18-24,female,1
Control,18-24,female,1
Control,18-24,female,1
Control,18-24,female,1
Control,18-24,female,1
Control,18-24,female,1
Control,18-24,female,1
Control,18-24,female,1
Control,18-24,female,1
Control,18-24,female,1
Control,18-24,female,1
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
Control,18-24,female,0
